sr,Model,Specifications,Processor,RAM,Storage,version,graphics card,Name,Cprice
0,HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph,AMD Ryzen 5 5600H,8GB,512GB SSD,Win11,4GB Graph,HP Victus 15-fb0157AX Gaming Laptop,"?54,490.00"
1,Tecno Megabook T1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home,11th Gen Core i3,8GB,512GB SSD,Win11 Home,,Tecno Megabook T1 Laptop,"?44,490.00"
2,Lenovo V15 G4 ?82YU00W7IN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home,AMD Ryzen 3 7320U,8GB,512GB SSD,Win11 Home,,Lenovo V15 G4 ?82YU00W7IN Laptop,"?71,999.00"
3,Samsung Galaxy Book2 Pro 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11,12th Gen Core i5,16GB,512GB SSD,Win11,,Samsung Galaxy Book2 Pro 13 Laptop,"?84,633.00"
4,Xiaomi Redmi G Pro 2024 Gaming Laptop (14th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ RTX 4060),14th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ RTX 4060,14th Gen Core i9,16GB,1TB SSD,Win11 Home,RTX 4060,Xiaomi Redmi G Pro 2024 Gaming Laptop,"?102,990.00"
5,HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home,12th Gen Core i3,8GB,512GB SSD,Win11 Home,,HP 15s-fq5007TU Laptop,"?38,000.00"
6,Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB SSD/ MacOS),Apple M1/ 8GB/ 256GB SSD/ MacOS,Apple M1,8GB,256GB SSD,MacOS,,Apple MacBook Air 2020 MGND3HN Laptop,"?77,990.00"
7,Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),12th Gen Core i5/ 8GB/ 512GB SSD/ Win11,12th Gen Core i5,8GB,512GB SSD,Win11,,Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop,"?53,999.00"
8,HP 15s-fq5330TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home,12th Gen Core i5,16GB,512GB SSD,Win11 Home,,HP 15s-fq5330TU Laptop,"?51,500.00"
9,HP Victus 15-fb1017AX Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph,AMD Ryzen 5 7535HS,16GB,512GB SSD,Win11,4GB Graph,HP Victus 15-fb1017AX Gaming Laptop,"?60,990.00"
10,Wings Nuvobook V1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),11th Gen Core i5/ 8GB/ 512GB SSD/ Win11,11th Gen Core i5,8GB,512GB SSD,Win11,,Wings Nuvobook V1 Laptop,"?42,990.00"
